system,seed,states_scored,typed_decision_failures,predicate_success_states,mean_chosen_realized_count_cost,mean_oracle_best_realized_count_cost,mean_gap_cost,transition_calls,linear_macs
issue-77-n1-009-a00,continuous-fixed-h5,20260910,,7,52.657,n/a,47.712,4.945,n/a
issue-77-n1-009-a09,continuous-fixed-h5,20260910,,7,52.657,n/a,47.712,4.945,n/a
issue-77-n1-010-a06,continuous-fixed-h5,20260910,,7,68.027,n/a,33.362,34.665,n/a
issue-77-n1-011-a02,continuous-fixed-h5,20260910,,7,52.355,n/a,45.768,6.587,n/a
issue-77-n1-011-a11,continuous-fixed-h5,20260910,,7,52.355,n/a,45.768,6.587,n/a
issue-77-n1-012-a08,continuous-fixed-h5,20260910,,7,65.501,n/a,54.447,11.055,n/a
issue-77-n1-013-a04,continuous-fixed-h5,20260910,,7,72.518,n/a,57.876,14.642,n/a
issue-77-n1-014-a01,continuous-fixed-h5,20260910,,7,47.836,n/a,41.708,6.127,n/a
issue-77-n1-014-a10,continuous-fixed-h5,20260910,,7,47.836,n/a,41.708,6.127,n/a
issue-77-n1-015-a06,continuous-fixed-h5,20260910,,7,56.589,n/a,27.495,29.094,n/a
issue-77-n1-016-a03,continuous-fixed-h5,20260910,,7,36.845,n/a,27.810,9.036,n/a
issue-77-n1-016-a12,continuous-fixed-h5,20260910,,7,36.845,n/a,27.810,9.036,n/a
issue-77-n1-001-a00,no-model-ordinal-prior,20260908,,8,49.098,n/a,38.563,10.536,n/a
issue-77-n1-001-a07,no-model-ordinal-prior,20260908,,8,49.098,n/a,38.563,10.536,n/a
issue-77-n1-003-a00,no-model-ordinal-prior,20260908,prior_candidate_absent,n/a,n/a,n/a,41.677,n/a,n/a
issue-77-n1-003-a10,no-model-ordinal-prior,20260908,prior_candidate_absent,n/a,n/a,n/a,41.677,n/a,n/a
issue-77-n1-004-a07,no-model-ordinal-prior,20260908,,8,89.635,n/a,77.595,12.040,n/a
issue-77-n1-005-a07,no-model-ordinal-prior,20260908,,8,67.431,n/a,67.431,0.000,n/a
issue-77-n1-006-a05,no-model-ordinal-prior,20260908,,8,70.753,n/a,63.951,6.802,n/a
issue-77-n1-006-a11,no-model-ordinal-prior,20260908,,8,70.753,n/a,63.951,6.802,n/a
issue-77-n1-007-a05,no-model-ordinal-prior,20260908,,8,68.567,n/a,61.919,6.648,n/a
issue-77-n1-007-a12,no-model-ordinal-prior,20260908,,8,68.567,n/a,61.919,6.648,n/a
issue-77-n1-008-a05,no-model-ordinal-prior,20260908,,8,64.601,n/a,50.814,13.787,n/a
issue-77-n1-008-a12,no-model-ordinal-prior,20260908,,8,64.601,n/a,50.814,13.787,n/a
issue-77-n1-009-a00,no-model-ordinal-prior,20260908,,8,153.479,n/a,47.712,105.767,n/a
issue-77-n1-009-a09,no-model-ordinal-prior,20260908,,8,153.479,n/a,47.712,105.767,n/a
issue-77-n1-010-a06,no-model-ordinal-prior,20260908,,8,67.959,n/a,33.362,34.597,n/a
issue-77-n1-011-a02,no-model-ordinal-prior,20260908,,8,52.028,n/a,45.768,6.260,n/a
issue-77-n1-011-a11,no-model-ordinal-prior,20260908,,8,52.028,n/a,45.768,6.260,n/a
issue-77-n1-012-a08,no-model-ordinal-prior,20260908,,8,72.187,n/a,54.447,17.740,n/a
issue-77-n1-013-a04,no-model-ordinal-prior,20260908,,8,72.597,n/a,57.876,14.721,n/a
issue-77-n1-014-a01,no-model-ordinal-prior,20260908,,8,47.836,n/a,41.708,6.127,n/a
issue-77-n1-014-a10,no-model-ordinal-prior,20260908,,8,47.836,n/a,41.708,6.127,n/a
issue-77-n1-015-a06,no-model-ordinal-prior,20260908,,8,56.574,n/a,27.495,29.079,n/a
issue-77-n1-016-a03,no-model-ordinal-prior,20260908,,8,36.942,n/a,27.810,9.133,n/a
issue-77-n1-016-a12,no-model-ordinal-prior,20260908,,8,36.942,n/a,27.810,9.133,n/a
issue-77-n1-001-a00,no-model-ordinal-prior,20260909,,8,49.098,n/a,38.563,10.536,n/a
issue-77-n1-001-a07,no-model-ordinal-prior,20260909,,8,49.098,n/a,38.563,10.536,n/a
issue-77-n1-003-a00,no-model-ordinal-prior,20260909,prior_candidate_absent,n/a,n/a,n/a,41.677,n/a,n/a
issue-77-n1-003-a10,no-model-ordinal-prior,20260909,prior_candidate_absent,n/a,n/a,n/a,41.677,n/a,n/a
issue-77-n1-004-a07,no-model-ordinal-prior,20260909,,8,89.635,n/a,77.595,12.040,n/a
issue-77-n1-005-a07,no-model-ordinal-prior,20260909,,8,67.431,n/a,67.431,0.000,n/a
issue-77-n1-006-a05,no-model-ordinal-prior,20260909,,8,70.753,n/a,63.951,6.802,n/a
issue-77-n1-006-a11,no-model-ordinal-prior,20260909,,8,70.753,n/a,63.951,6.802,n/a
issue-77-n1-007-a05,no-model-ordinal-prior,20260909,,8,68.567,n/a,61.919,6.648,n/a
issue-77-n1-007-a12,no-model-ordinal-prior,20260909,,8,68.567,n/a,61.919,6.648,n/a
issue-77-n1-008-a05,no-model-ordinal-prior,20260909,,8,64.601,n/a,50.814,13.787,n/a
issue-77-n1-008-a12,no-model-ordinal-prior,20260909,,8,64.601,n/a,50.814,13.787,n/a
