oracle_per_state,family,candidates,executed,typed_failures,successes,successful_ordinals,ceiling_indicator
issue-77-n1-001-a00,type010103,12,8,4,1,6,1
selection,no-model-ordinal-prior,20260908,issue-77-n1-008-a12,False,8,issue-77-n1-008-a08,False,
selection,no-model-ordinal-prior,20260909,issue-77-n1-008-a12,False,8,issue-77-n1-008-a08,False,
selection,no-model-ordinal-prior,20260910,issue-77-n1-008-a12,False,8,issue-77-n1-008-a08,False,
selection,hybrid-fixed-h1,20260908,issue-77-n1-009-a00,False,12,issue-77-n1-009-a12,False,
selection,hybrid-fixed-h1,20260909,issue-77-n1-009-a00,False,12,issue-77-n1-009-a12,False,
selection,hybrid-fixed-h1,20260910,issue-77-n1-009-a00,False,7,issue-77-n1-009-a07,False,
selection,continuous-fixed-h1,20260908,issue-77-n1-009-a00,False,9,issue-77-n1-009-a09,False,
selection,continuous-fixed-h1,20260909,issue-77-n1-009-a00,False,7,issue-77-n1-009-a07,False,
selection,continuous-fixed-h1,20260910,issue-77-n1-009-a00,False,8,issue-77-n1-009-a08,False,
selection,continuous-fixed-h5,20260908,issue-77-n1-009-a00,False,9,issue-77-n1-009-a09,False,
selection,continuous-fixed-h5,20260909,issue-77-n1-009-a00,False,8,issue-77-n1-009-a08,False,
selection,continuous-fixed-h5,20260910,issue-77-n1-009-a00,False,7,issue-77-n1-009-a07,False,
selection,no-model-ordinal-prior,20260908,issue-77-n1-009-a00,False,8,issue-77-n1-009-a08,False,
selection,no-model-ordinal-prior,20260909,issue-77-n1-009-a00,False,8,issue-77-n1-009-a08,False,
selection,no-model-ordinal-prior,20260910,issue-77-n1-009-a00,False,8,issue-77-n1-009-a08,False,
selection,hybrid-fixed-h1,20260908,issue-77-n1-009-a09,False,12,issue-77-n1-009-a12,False,
selection,hybrid-fixed-h1,20260909,issue-77-n1-009-a09,False,12,issue-77-n1-009-a12,False,
selection,hybrid-fixed-h1,20260910,issue-77-n1-009-a09,False,7,issue-77-n1-009-a07,,
selection,continuous-fixed-h1,20260908,issue-77-n1-009-a09,False,9,issue-77-n1-009-a09,,
selection,continuous-fixed-h1,20260909,issue-77-n1-009-a09,False,7,issue-77-n1-009-a07,,
selection,continuous-fixed-h1,20260910,issue-77-n1-009-a09,False,8,issue-77-n1-009-a08,False,
selection,continuous-fixed-h5,20260908,issue-77-n1-009-a09,False,9,issue-77-n1-009-a09,,
selection,continuous-fixed-h5,20260909,issue-77-n1-009-a09,False,8,issue-77-n1-009-a08,False,
selection,continuous-fixed-h5,20260910,issue-77-n1-009-a09,False,7,issue-77-n1-009-a07,,
selection,no-model-ordinal-prior,20260908,issue-77-n1-009-a09,False,8,issue-77-n1-009-a08,False,
selection,no-model-ordinal-prior,20260909,issue-77-n1-009-a09,False,8,issue-77-n1-009-a08,False,
selection,no-model-ordinal-prior,20260910,issue-77-n1-009-a09,False,8,issue-77-n1-009-a08,False,
selection,hybrid-fixed-h1,20260908,issue-77-n1-010-a06,False,12,issue-77-n1-010-a12,False,
selection,hybrid-fixed-h1,20260909,issue-77-n1-010-a06,False,12,issue-77-n1-010-a12,False,
selection,hybrid-fixed-h1,20260910,issue-77-n1-010-a06,False,7,issue-77-n1-010-a07,,
selection,continuous-fixed-h1,20260908,issue-77-n1-010-a06,False,9,issue-77-n1-010-a09,False,
selection,continuous-fixed-h1,20260909,issue-77-n1-010-a06,False,7,issue-77-n1-010-a07,,
selection,continuous-fixed-h1,20260910,issue-77-n1-010-a06,False,7,issue-77-n1-010-a07,,
selection,continuous-fixed-h5,20260908,issue-77-n1-010-a06,False,9,issue-77-n1-010-a09,False,
selection,continuous-fixed-h5,20260909,issue-77-n1-010-a06,False,7,issue-77-n1-010-a07,,
selection,continuous-fixed-h5,20260910,issue-77-n1-010-a06,False,7,issue-77-n1-010-a07,,
