[native-refit] retain completed predictor-hybrid-760930001; no new optimizer work or allowance
[native-refit] retain completed predictor-pure-760930001; no new optimizer work or allowance
[native-refit] retain completed predictor-hybrid-760930002; no new optimizer work or allowance
[native-refit] retain completed predictor-pure-760930002; no new optimizer work or allowance
[native-refit] predictor-hybrid-760930003 updates=10822/12000 applied=10735 skipped=87 loss=0.17385230958461761 budget=2547.8/14400s ETA=521.5s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10834/12000 applied=10747 skipped=87 loss=0.3874059021472931 budget=2553.2/14400s ETA=516.3s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10846/12000 applied=10759 skipped=87 loss=0.03636445105075836 budget=2558.5/14400s ETA=510.9s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10858/12000 applied=10771 skipped=87 loss=0.1537550687789917 budget=2564.0/14400s ETA=505.7s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10870/12000 applied=10783 skipped=87 loss=0.41785794496536255 budget=2569.3/14400s ETA=500.5s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10882/12000 applied=10795 skipped=87 loss=0.028242241591215134 budget=2574.6/14400s ETA=495.1s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10894/12000 applied=10806 skipped=88 loss=0.14320072531700134 budget=2579.7/14400s ETA=489.7s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10906/12000 applied=10818 skipped=88 loss=0.5757692456245422 budget=2585.1/14400s ETA=484.4s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10918/12000 applied=10830 skipped=88 loss=0.028368446975946426 budget=2590.2/14400s ETA=479.0s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10930/12000 applied=10842 skipped=88 loss=0.1609874963760376 budget=2595.8/14400s ETA=473.8s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10942/12000 applied=10854 skipped=88 loss=0.5052371621131897 budget=2601.2/14400s ETA=468.6s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10954/12000 applied=10866 skipped=88 loss=0.03662929683923721 budget=2606.5/14400s ETA=463.3s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10966/12000 applied=10878 skipped=88 loss=0.13824239373207092 budget=2611.9/14400s ETA=457.9s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10978/12000 applied=10890 skipped=88 loss=0.5344895124435425 budget=2617.6/14400s ETA=452.9s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10990/12000 applied=10902 skipped=88 loss=0.02826092392206192 budget=2623.0/14400s ETA=447.6s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=11002/12000 applied=10914 skipped=88 loss=0.15608587861061096 budget=2628.5/14400s ETA=442.4s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=11014/12000 applied=10926 skipped=88 loss=0.38957253098487854 budget=2634.1/14400s ETA=437.2s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=11026/12000 applied=10938 skipped=88 loss=0.02981383353471756 budget=2639.3/14400s ETA=431.8s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=11038/12000 applied=10950 skipped=88 loss=0.17345184087753296 budget=2644.8/14400s ETA=426.6s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=11050/12000 applied=10962 skipped=88 loss=0.5237119197845459 budget=2650.4/14400s ETA=421.4s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=11063/12000 applied=10974 skipped=89 loss=0.013120222836732864 budget=2655.6/14400s ETA=415.4s CUDA=439.7MiB
